Age;Sex;Job;Housing;Saving accounts;Checking account;Credit amount;Duration;Purpose_vacation/others;Purpose_business;Purpose_car;Purpose_domestic appliances;Purpose_education;Purpose_furniture/equipment;Purpose_radio/TV;Purpose_repairs;Purpose_vacation/others;Risk
50;1;2;1;3;3;3777;24;0;0;0;0;0;1;0;0;0;1
36;1;2;1;0;1;884;18;0;0;1;0;0;0;0;0;0;0
31;1;2;1;0;3;1360;15;0;0;0;0;0;0;1;0;0;1
74;0;3;0;0;1;5129;9;0;0;1;0;0;0;0;0;0;0
68;1;0;0;0;1;1175;16;0;0;1;0;0;0;0;0;0;1
20;1;2;1;1;0;674;12;0;0;0;0;0;0;1;0;0;0
33;0;2;1;0;1;3244;18;0;0;0;0;0;1;0;0;0;1
54;1;3;1;3;3;4591;24;0;1;0;0;0;0;0;0;0;0
34;1;1;0;1;1;3844;48;0;1;0;0;0;0;0;0;0;0
36;1;2;1;0;1;3915;27;0;1;0;0;0;0;0;0;0;0
29;1;2;2;0;3;2108;6;0;0;0;0;0;0;1;0;0;1
21;1;2;2;1;1;3031;45;0;0;0;0;0;0;1;0;0;0
34;0;3;1;0;1;1501;9;0;0;0;0;1;0;0;0;0;0
28;0;2;1;0;3;1382;6;0;0;0;0;0;0;1;0;0;1
27;0;2;2;1;1;951;12;0;0;0;0;0;1;0;0;0;0
36;1;2;0;4;1;2760;24;0;0;1;0;0;0;0;0;0;1
40;1;3;1;0;1;4297;18;0;0;0;0;0;1;0;0;0;0
52;1;2;1;2;3;936;9;0;0;0;0;1;0;0;0;0;1
27;1;1;1;0;0;1168;12;0;0;1;0;0;0;0;0;0;1
26;1;2;1;0;3;5117;27;0;1;0;0;0;0;0;0;0;1
21;1;2;2;0;0;902;12;0;0;0;0;1;0;0;0;0;0
38;1;1;1;0;3;1495;12;0;0;1;0;0;0;0;0;0;1
38;1;3;0;0;0;10623;30;0;0;1;0;0;0;0;0;0;1
43;1;2;1;0;3;1935;12;0;0;0;0;0;1;0;0;0;1
26;1;2;1;0;1;1424;12;0;0;0;1;0;0;0;0;0;1
21;1;1;1;0;0;6568;24;0;1;0;0;0;0;0;0;0;1
55;1;2;1;3;3;1413;12;0;0;1;0;0;0;0;0;0;1
33;1;2;1;4;3;3074;9;0;0;0;0;0;0;1;0;0;1
45;0;1;1;4;3;3835;36;0;0;0;0;0;0;1;0;0;1
50;1;2;1;0;0;5293;27;0;1;0;0;0;0;0;0;0;0
66;1;3;1;0;2;1908;30;0;1;0;0;0;0;0;0;0;0
51;1;2;1;4;3;3342;36;0;0;0;0;0;0;1;0;0;1
39;0;1;1;4;1;932;6;0;0;0;0;1;0;0;0;0;1
31;1;2;1;0;0;3104;18;0;1;0;0;0;0;0;0;0;1
23;1;2;1;0;2;3913;36;0;0;0;0;0;0;1;0;0;1
24;1;1;2;0;0;3021;24;0;0;0;0;0;1;0;0;0;1
64;0;2;1;0;3;1364;10;0;0;1;0;0;0;0;0;0;1
26;1;1;1;0;1;625;12;0;0;0;0;0;0;1;0;0;1
23;0;2;2;4;0;1200;12;0;0;0;0;1;0;0;0;0;1
30;1;2;1;0;3;707;12;0;0;0;0;0;0;1;0;0;1
32;1;2;1;4;3;2978;24;0;1;0;0;0;0;0;0;0;1
30;1;2;1;0;3;4657;15;0;0;1;0;0;0;0;0;0;1
27;1;2;1;0;3;2613;36;0;0;0;0;0;0;0;1;0;1
27;1;2;1;3;1;10961;48;0;0;0;0;0;0;1;0;0;0
53;1;3;0;0;0;7865;12;0;0;0;0;0;1;0;0;0;0
22;1;2;1;0;3;1478;9;0;0;0;0;0;0;1;0;0;0
22;1;2;0;0;0;3149;24;0;0;0;0;0;1;0;0;0;1
26;1;2;1;0;2;4210;36;0;0;0;0;0;0;1;0;0;0
51;1;1;0;2;3;2507;9;0;0;1;0;0;0;0;0;0;1
35;1;2;1;1;3;2141;12;0;0;0;0;0;0;1;0;0;1
25;1;1;1;0;1;866;18;0;0;0;0;0;0;1;0;0;1
42;1;1;1;0;3;1544;4;0;0;0;0;0;0;1;0;0;1
30;1;3;1;0;0;1823;24;0;0;0;0;0;0;1;0;0;0
23;1;0;1;4;1;14555;6;0;0;1;0;0;0;0;0;0;0
61;1;1;2;1;1;2767;21;0;1;0;0;0;0;0;0;0;0
35;0;2;1;0;3;1291;12;0;0;0;0;0;0;1;0;0;1
39;1;2;1;0;0;2522;30;0;0;0;0;0;0;1;0;0;1
29;0;2;1;4;0;915;24;0;0;1;0;0;0;0;0;0;0
51;1;2;1;0;3;1595;6;0;0;0;0;0;0;1;0;0;1
24;1;2;0;0;0;4605;48;0;0;1;0;0;0;0;0;0;0
27;0;2;1;0;3;1185;12;0;1;0;0;0;0;0;0;0;1
35;0;1;1;2;3;3447;12;0;0;0;0;1;0;0;0;0;1
25;1;2;1;0;3;1258;24;0;1;0;0;0;0;0;0;0;1
52;1;2;1;0;3;717;12;0;0;0;0;0;0;1;0;0;1
35;1;2;2;1;3;1204;6;0;0;1;0;0;0;0;0;0;1
26;1;2;1;0;2;1925;24;0;0;0;0;0;1;0;0;0;1
22;0;2;2;0;3;433;18;0;0;0;0;0;0;1;0;0;0
39;0;1;1;3;0;666;6;0;0;1;0;0;0;0;0;0;1
46;0;1;1;0;2;2251;12;0;0;0;0;0;1;0;0;0;1
24;0;2;1;0;1;2150;30;0;0;1;0;0;0;0;0;0;0
35;1;2;1;1;3;4151;24;0;0;0;0;0;1;0;0;0;1
24;1;2;1;4;1;2030;9;0;0;0;0;0;1;0;0;0;1
27;1;1;1;4;1;7418;60;0;0;0;0;0;0;1;0;0;1
35;1;1;1;0;3;2684;24;0;0;0;0;0;0;1;0;0;1
29;1;2;0;0;0;2149;12;0;0;0;0;0;0;1;0;0;0
23;0;2;1;1;3;3812;15;0;0;1;0;0;0;0;0;0;1
57;0;1;1;1;3;1154;11;0;0;0;0;0;0;1;0;0;1
27;1;2;1;0;0;1657;12;0;0;0;0;0;1;0;0;0;1
55;0;2;1;0;0;1603;24;0;0;0;0;0;0;1;0;0;1
36;1;3;0;0;0;5302;18;0;0;1;0;0;0;0;0;0;1
57;0;1;0;0;3;2748;12;0;0;0;0;1;0;0;0;0;1
32;1;1;1;0;3;1231;10;0;0;1;0;0;0;0;0;0;1
37;1;2;1;0;1;802;15;0;0;0;0;0;0;1;0;0;0
36;1;2;1;4;3;6304;36;0;1;0;0;0;0;0;0;0;1
38;0;2;1;0;3;1533;24;0;0;0;0;0;0;1;0;0;1
45;1;3;1;0;0;8978;14;0;0;1;0;0;0;0;0;0;0
25;1;2;1;4;3;999;24;0;0;0;0;0;0;1;0;0;1
32;1;2;1;4;3;2662;18;0;0;1;0;0;0;0;0;0;1
37;0;2;2;2;3;1402;12;0;0;0;0;0;1;0;0;0;1
36;1;3;0;4;1;12169;48;0;0;1;0;0;0;0;0;0;1
28;1;2;1;0;1;3060;48;0;0;0;0;0;0;1;0;0;0
34;1;1;1;0;0;11998;30;0;0;0;0;0;0;0;1;0;0
32;1;2;1;0;3;2697;9;0;0;0;0;0;0;1;0;0;1
26;0;2;1;0;3;2404;18;0;0;0;0;0;0;1;0;0;1
49;1;1;1;4;0;1262;12;0;0;0;0;0;1;0;0;0;1
32;0;2;1;0;3;4611;6;0;0;0;0;0;1;0;0;0;0
29;1;3;2;1;3;1901;24;0;0;0;0;0;0;1;0;0;1
23;1;2;2;3;3;3368;15;0;0;1;0;0;0;0;0;0;1
50;1;2;1;0;3;1574;12;0;0;0;0;0;1;0;0;0;1
49;1;1;1;4;2;1445;18;0;0;0;0;0;0;1;0;0;1
63;1;2;1;4;3;1520;15;0;0;0;0;0;1;0;0;0;1
37;1;2;1;1;1;3878;24;0;0;1;0;0;0;0;0;0;1
35;0;1;1;0;0;10722;47;0;0;1;0;0;0;0;0;0;1
26;1;2;1;0;0;4788;48;0;0;1;0;0;0;0;0;0;1
31;1;3;0;1;1;7582;48;1;0;0;0;0;0;0;0;1;1
49;0;2;1;0;1;1092;12;0;0;0;0;0;0;1;0;0;1
48;1;2;1;0;0;1024;24;0;0;0;0;0;0;1;0;0;0
26;1;2;1;0;3;1076;12;0;1;0;0;0;0;0;0;0;1
28;1;3;2;0;1;9398;36;0;0;1;0;0;0;0;0;0;0
44;0;3;0;0;0;6419;24;0;0;1;0;0;0;0;0;0;1
56;1;2;0;0;2;4796;42;0;0;1;0;0;0;0;0;0;1
46;1;3;1;4;3;7629;48;0;1;0;0;0;0;0;0;0;1
26;0;2;1;0;1;9960;48;0;0;0;0;0;1;0;0;0;0
20;0;2;2;4;3;4675;12;0;0;1;0;0;0;0;0;0;1
45;1;1;1;4;3;1287;10;0;0;1;0;0;0;0;0;0;1
43;1;2;1;0;3;2515;18;0;0;0;0;0;1;0;0;0;1
32;1;2;1;3;1;2745;21;0;0;0;0;0;1;0;0;0;1
54;0;0;1;0;3;672;6;0;0;1;0;0;0;0;0;0;1
42;0;2;1;0;1;3804;36;0;0;0;0;0;0;1;0;0;0
37;1;1;1;4;2;1344;24;0;0;1;0;0;0;0;0;0;0
49;1;2;1;0;0;1038;10;0;0;1;0;0;0;0;0;0;1
44;1;2;0;2;3;10127;48;0;0;1;0;0;0;0;0;0;0
33;1;2;1;3;3;1543;6;0;0;0;0;0;1;0;0;0;1
24;0;1;2;4;3;4811;30;0;0;1;0;0;0;0;0;0;1
33;1;1;1;1;0;727;12;0;0;0;0;0;0;1;0;0;0
24;0;2;1;0;1;1237;8;0;0;0;0;0;1;0;0;0;0
22;1;1;2;0;1;276;9;0;0;1;0;0;0;0;0;0;1
40;1;0;0;4;1;5381;48;1;0;0;0;0;0;0;0;1;1
25;1;2;1;1;3;5511;24;0;0;0;0;0;1;0;0;0;1
26;0;2;1;0;2;3749;24;0;0;0;0;0;1;0;0;0;1
25;1;1;1;0;1;685;12;0;0;1;0;0;0;0;0;0;0
29;1;1;1;4;2;1494;4;0;0;1;0;0;0;0;0;0;1
31;1;2;1;0;0;2746;36;0;0;0;0;0;1;0;0;0;0
38;1;1;1;0;0;708;12;0;0;0;0;0;1;0;0;0;1
48;0;1;1;4;1;4351;24;0;0;0;0;0;1;0;0;0;1
32;1;2;1;0;3;701;12;0;0;0;0;1;0;0;0;0;1
27;0;1;1;0;0;3643;15;0;0;0;0;0;1;0;0;0;1
28;1;3;1;0;1;4249;30;0;0;1;0;0;0;0;0;0;0
32;1;2;1;0;0;1938;24;0;0;0;0;0;0;1;0;0;0
34;1;3;0;0;0;2910;24;0;0;1;0;0;0;0;0;0;1
28;1;2;1;3;0;2659;18;0;0;0;0;0;1;0;0;0;1
36;0;2;1;0;3;1028;18;0;0;1;0;0;0;0;0;0;1
39;1;1;1;0;0;3398;8;0;0;1;0;0;0;0;0;0;1
49;1;2;2;4;3;5801;12;0;0;0;0;0;1;0;0;0;1
34;0;2;1;3;3;1525;24;0;0;1;0;0;0;0;0;0;1
31;1;2;1;0;2;4473;36;0;0;0;0;0;0;1;0;0;1
28;1;2;1;0;1;1068;6;0;0;0;0;0;0;1;0;0;1
75;1;3;0;0;0;6615;24;0;0;1;0;0;0;0;0;0;1
30;0;2;1;1;3;1864;18;0;0;0;0;1;0;0;0;0;0
24;0;3;1;1;1;7408;60;0;0;1;0;0;0;0;0;0;0
24;0;1;2;1;3;11590;48;0;0;1;0;0;0;0;0;0;0
23;1;2;2;0;0;4110;24;0;0;0;0;0;1;0;0;0;0
44;1;3;2;0;0;3384;6;0;0;0;0;0;1;0;0;0;0
23;0;1;1;0;1;2101;13;0;0;0;0;0;0;1;0;0;1
24;0;2;2;4;0;1275;15;0;0;0;1;0;0;0;0;0;0
28;1;2;1;0;0;4169;24;0;0;0;0;0;1;0;0;0;1
31;1;1;1;0;1;1521;10;0;0;0;0;0;1;0;0;0;1
24;0;2;0;0;1;5743;24;0;0;0;0;1;0;0;0;0;1
26;0;1;2;0;0;3599;21;0;0;0;0;0;1;0;0;0;1
25;1;2;2;2;1;3213;18;0;0;0;0;0;0;1;0;0;1
33;1;3;1;0;1;4439;18;0;1;0;0;0;0;0;0;0;1
37;1;1;1;0;2;3949;10;0;0;1;0;0;0;0;0;0;1
43;0;1;1;0;3;1459;15;0;0;0;0;0;0;1;0;0;1
23;1;2;1;0;1;882;13;0;0;0;0;0;0;1;0;0;1
23;0;0;2;2;1;3758;24;0;0;0;0;0;0;1;0;0;1
34;1;1;1;1;3;1743;6;0;1;0;0;0;0;0;0;0;1
32;1;2;0;3;1;1136;9;0;0;0;0;1;0;0;0;0;0
23;0;2;2;0;3;1236;9;0;0;0;1;0;0;0;0;0;1
29;0;2;1;0;1;959;9;0;0;0;0;0;1;0;0;0;0
38;1;3;1;4;3;3229;18;0;0;1;0;0;0;0;0;0;1
28;1;2;2;0;0;6199;12;0;0;0;0;0;0;1;0;0;0
46;1;2;0;2;3;727;10;0;0;0;0;1;0;0;0;0;1
23;1;1;1;0;1;1246;24;0;0;1;0;0;0;0;0;0;0
49;1;2;1;4;3;2331;12;0;0;0;0;0;0;1;0;0;1
26;1;3;1;0;3;4463;36;0;0;0;0;0;0;1;0;0;0
28;1;2;1;0;3;776;12;0;0;0;0;0;0;1;0;0;1
23;0;2;2;0;0;2406;30;0;0;0;0;0;1;0;0;0;0
61;1;2;0;4;1;1239;18;0;0;0;0;1;0;0;0;0;1
37;1;3;1;4;2;3399;12;0;0;0;0;0;0;1;0;0;1
36;0;2;1;0;2;2247;12;0;0;1;0;0;0;0;0;0;1
21;1;2;2;0;3;1766;6;0;0;0;0;0;1;0;0;0;1
25;1;0;1;0;0;2473;18;0;0;0;0;0;1;0;0;0;0
36;1;2;1;0;3;1542;12;0;1;0;0;0;0;0;0;0;1
27;1;2;1;0;3;3850;18;0;0;1;0;0;0;0;0;0;1
22;0;2;2;0;0;3650;18;0;0;0;0;0;1;0;0;0;1
42;1;2;1;0;0;3446;36;0;0;0;0;0;1;0;0;0;0
40;0;2;2;0;1;3001;18;0;0;0;0;0;1;0;0;0;1
36;1;2;1;4;3;3079;36;0;0;1;0;0;0;0;0;0;1
33;1;2;1;0;3;6070;18;0;0;0;0;0;0;1;0;0;1
